fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths
02013,USA,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,0.0,,0.684082881731,1.254117682769,,,,0,4,0,4,0,4,4,362,2,,,,,,,,,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,,,0
02016,USA,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.1285,other,38.034383082306405,,0.664908559243,0.569666037687,inf,,,3,2,3,4,0,4,4,641,0,,,,0,,,,0,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,,,0
02020,USA,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.0212,other,17.708333333333336,,1.1147908224299998,0.2213297407000001,0.16422285945253434,,0.9002931172762653,2,0,2,4,2,0,3,27101,159,,,,1149,419,11,0.66,48,43,4,0.71,35,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,,,1
02050,USA,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.0045,other,40.40341253438175,,0.977179327951,0.6976317646090001,inf,,,3,0,3,4,1,4,4,3640,19,,,,37,,,0.4,0,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,,,0
02060,USA,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,273.41079972658923,,1.11307675744,0.9123372014599997,,,,5,4,5,4,2,4,4,455,2,,,,,,,,,,,,4,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0
02068,USA,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.0182,other,6.812453164384495,,,,,,,1,0,1,4,4,4,4,75,0,,,,,,,,,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/denali_borough,,,0
02070,USA,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.0156,other,0.0,,,,inf,,,0,0,0,4,4,4,4,207,1,,,,18,,,0.15,0,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,,,0
02090,USA,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.0402,other,13.275452361039203,,0.8942595171950001,0.42863734128499975,0.27972027972027974,,0.5494505384615386,2,1,2,4,0,0,0,6346,29,,,,175,54,2,0.46,13,7,2,0.66,5,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,,,0
02100,USA,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,25,0,,,,,,,,,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/haines_borough,,,0
02105,USA,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,56,1,,,,,,,,,,,,0,,,,2021-03-13,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,,,0
